"","Player","X2022.Salary","X2022.Signing","G","GS","MIN","PTS","FGM","FGA","FG.","X2PM","X2PA","X2P.","X3PM","X3PA","X3P.","FTM","FTA","FT.","ORB","DRB","TRB","AST","TOV","STL","BLK","PF","Is_NBA"
"99","Nikolina Milic",31882,"Hardship",31,4,11.7,6,2.4,4.4,"54.80%",2.2,3.6,"60.20%",0.2,0.7,"27.30%",1,1.4,"73.80%",1.5,1.5,3,0.7,1.4,0.3,0.3,1.8,0
"100","Nikolina Milic",10477,"UFA",31,4,11.7,6,2.4,4.4,"54.80%",2.2,3.6,"60.20%",0.2,0.7,"27.30%",1,1.4,"73.80%",1.5,1.5,3,0.7,1.4,0.3,0.3,1.8,0
"101","Kristi Toliver",196100,NA,11,10,19.8,5.9,1.7,4.6,"37.30%",0.5,1.4,"40.00%",1.2,3.3,"36.10%",1.3,1.5,"87.50%",0,0.8,0.8,3.1,2.3,0.4,0,1.3,0
"102","Sparkle Taylor",3592,"Hardship",2,0,12.3,5.5,2.5,3,"83.30%",2.5,2.5,"100.00%",0,0.5,"0.00%",0.5,0.5,"100.00%",0,1,1,0,0.5,0,0,1.5,0
"103","Crystal Dangerfield",2694,"Hardship",33,27,21.5,5.5,2,5,"39.80%",1.3,2.9,"45.30%",0.7,2.2,"32.40%",0.8,1,"73.50%",0.4,1.6,2,2.6,0.9,0.5,0.1,1.3,0
"104","Crystal Dangerfield",16166,"Hardship",33,27,21.5,5.5,2,5,"39.80%",1.3,2.9,"45.30%",0.7,2.2,"32.40%",0.8,1,"73.50%",0.4,1.6,2,2.6,0.9,0.5,0.1,1.3,0
"105","Crystal Dangerfield",25745,"UFA",33,27,21.5,5.5,2,5,"39.80%",1.3,2.9,"45.30%",0.7,2.2,"32.40%",0.8,1,"73.50%",0.4,1.6,2,2.6,0.9,0.5,0.1,1.3,0
"106","Kennedy Burke",36428,NA,16,4,13.9,5.4,2.1,4.6,"44.60%",1.4,2.6,"52.40%",0.7,2,"34.40%",0.6,1.1,"58.80%",0.5,1.7,2.2,0.4,0.5,1,0.3,1.1,0
"107","Elizabeth Williams",90000,"UFA",30,0,14.9,5.4,2.3,4.7,"48.20%",2.3,4.7,"48.20%",0,0,NA,0.8,1.4,"58.10%",1.5,2.3,3.8,0.5,0.6,0.6,0.6,1.5,0
"108","Destanni Henderson",63389,"Rookie",36,5,16.4,5.3,2,4.9,"40.10%",1.3,2.9,"42.50%",0.7,2,"36.60%",0.6,0.9,"71.90%",0.8,0.8,1.6,2.5,1.7,0.8,0.1,0.9,0
"109","Natalie Achonwa",160000,"UFA",22,0,15.1,5.3,2.1,4.1,"51.60%",2.1,4,"52.80%",0,0.1,"0.00%",1,1.2,"81.50%",1.1,3,4.1,1.7,1,0.4,0.3,1.6,0
"110","Emily Engstler",72141,"Rookie",35,6,18.2,5.2,2.1,5.2,"39.60%",1.6,3.9,"40.90%",0.5,1.3,"35.60%",0.6,1.1,"55.30%",2.1,3.1,5.2,1.5,1.4,0.7,1.1,3.1,0
"111","Damiris Dantas",129150,NA,15,15,17.4,5.1,1.9,6.1,"30.40%",0.8,2.1,"38.70%",1.1,4.1,"26.20%",0.3,0.4,"83.30%",0.7,3.1,3.8,1.9,1.1,0.2,0.1,1.2,0
"112","Stephanie Talbot",72141,"RFA",34,1,16.1,5,1.9,4.1,"46.40%",1,1.9,"53.80%",0.9,2.1,"39.70%",0.4,0.7,"58.30%",0.7,2.5,3.1,1.3,1.1,0.7,0.3,1.3,0
"113","Tyasha Harris",73211,NA,35,5,15.8,5,2,4.7,"41.80%",1.5,3.2,"46.80%",0.5,1.5,"31.50%",0.5,0.7,"79.20%",0.2,0.7,0.9,2.8,1.1,0.4,0.1,1,0
"114","Tianna Hawkins",72141,"UFA",25,0,12.8,4.9,1.8,4.6,"38.60%",1.2,2.4,"49.20%",0.6,2.1,"26.40%",0.8,0.8,"95.20%",0.6,1.8,2.4,0.8,1.2,0.4,0.1,1.7,0
"115","Kaela Davis",2143,"Hardship",7,0,7.8,4.9,1.9,3,"61.90%",1.3,2.1,"60.00%",0.6,0.9,"66.70%",0.6,0.7,"80.00%",0.4,0.9,1.3,0.1,0.9,0.3,0,1.3,0
"116","Kaela Davis",5357,"Hardship",7,0,7.8,4.9,1.9,3,"61.90%",1.3,2.1,"60.00%",0.6,0.9,"66.70%",0.6,0.7,"80.00%",0.4,0.9,1.3,0.1,0.9,0.3,0,1.3,0
"117","Kaela Davis",7500,"UFA",7,0,7.8,4.9,1.9,3,"61.90%",1.3,2.1,"60.00%",0.6,0.9,"66.70%",0.6,0.7,"80.00%",0.4,0.9,1.3,0.1,0.9,0.3,0,1.3,0
"118","Kaela Davis",1607,"UFA",7,0,7.8,4.9,1.9,3,"61.90%",1.3,2.1,"60.00%",0.6,0.9,"66.70%",0.6,0.7,"80.00%",0.4,0.9,1.3,0.1,0.9,0.3,0,1.3,0
